YEAR,STREET NAME,UNIT #,PROPERTY TYPE,BEDROOM,BATHROOM,MONTHLY RENT ($),SECURITY ($),LEASOR,MAX # of TENANTS,FURNISHED (Y/P/N),WATER (Y/N),TRASH (Y/N)
2019,PICASSO,C,APT,1.0,1,1400.0,1400.0,SFMVDM,2.0,N,N,Y
2019,PICASSO,"A, B, D, E",APT,2.0,1,1900.0,1900.0,SFMVDM,3.0,N,N,Y
2019,PICASSO,1-7. 9-17,APT,1.0,1,1340.0,1340.0,SFMVDM,2.0,N,N,Y
2019,PICASSO,"8, 16",APT,2.0,1,1950.0,1950.0,SFMVDM,3.0,N,N,Y
2019,PICASSO,"1-3, 8-10",TOWNHOUSE,2.0,2,2600.0,2600.0,SFMVDM,4.0,N,Y,Y
2019,SABADO TARDE,"2-8, 11-17",0,0.0,1,1010.0,1010.0,SFMVDM,1.0,N,N,Y
2019,SABADO TARDE,"9, 18",0,0.0,1,1100.0,1100.0,SFMVDM,1.0,N,N,Y
2019,SABADO TARDE,"1, 10",APT,3.0,2,3000.0,3000.0,SFMVDM,4.0,N,N,Y
2019,SABADO TARDE,"1, 2",APT,2.0,2,2800.0,2800.0,SFMVDM,4.0,N,N,Y
2019,SABADO TARDE,"3, 4",APT,2.0,2,2900.0,2900.0,SFMVDM,4.0,N,N,Y
2019,SABADO TARDE,A-F,APT,2.0,1,2400.0,2400.0,SFMVDM,4.0,N,N,Y
2019,SABADO TARDE,3,APT,1.0,1,1300.0,1300.0,SFMVDM,2.0,N,N,Y
2019,SABADO TARDE,"1, 2, 4-6",APT,2.0,1,2400.0,2400.0,SFMVDM,4.0,N,N,Y
2019,SABADO TARDE,"A, B",APT,3.0,2,3600.0,3600.0,SFMVDM,5.0,N,N,Y
2019,SABADO TARDE,--,HOUSE,4.0,2,5100.0,5100.0,SFMVDM,6.0,N,,
2019,SABADO TARDE,"A, B",APT,2.0,2,2700.0,2700.0,SFMVDM,4.0,N,N,Y
2019,SABADO TARDE,"A, B",APT,2.0,1,2700.0,2700.0,SFMVDM,4.0,N,N,Y
2019,SABADO TARDE,C,0,0.0,1,1200.0,1200.0,SFMVDM,1.0,N,N,Y
2019,SABADO TARDE,A,APT,3.0,2,3500.0,3500.0,SFMVDM,5.0,N,N,Y
2019,SABADO TARDE,B,APT,3.0,1,3000.0,3000.0,SFMVDM,4.0,N,N,Y
2019,SABADO TARDE,--,HOUSE,3.0,2,6400.0,6400.0,SFMVDM,7.0,N,,
2019,SEGOVIA,"103, 104, 201-210",0,0.0,1,960.0,960.0,SFMVDM,1.0,N,Y,Y
2019,SEGOVIA,"102, 207, 211",0,0.0,1,980.0,980.0,SFMVDM,1.0,N,Y,Y
2019,SEGOVIA,101,APT,1.0,1,1300.0,1300.0,SFMVDM,2.0,N,Y,Y
2019,SEVILLE,"3, 4",APT,2.0,2,2700.0,2700.0,SFMVDM,4.0,N,N,Y
2019,SEVILLE,5,APT,2.0,2,2700.0,2700.0,SFMVDM,4.0,N,N,Y
2019,SEVILLE,"1, 2",APT,3.0,2,4050.0,4050.0,SFMVDM,6.0,N,N,Y
2019,TRIGO,1-6,APT,1.0,1,1260.0,1260.0,SFMVDM,2.0,N,N,Y
2019,TRIGO,"1, 2",APT,2.0,2,2600.0,2600.0,SFMVDM,4.0,N,N,Y
2019,TRIGO,3,APT,2.0,2,2700.0,2700.0,SFMVDM,4.0,N,N,Y
2019,TRIGO,4,APT,2.0,2,2600.0,2600.0,SFMVDM,4.0,N,N,Y
2019,TRIGO,5-8,0,0.0,1,1300.0,1300.0,SFMVDM,1.0,N,N,Y
2019,TRIGO,"8, 9",0,0.0,1,980.0,980.0,SFMVDM,1.0,N,N,Y
2019,TRIGO,4/5,APT,1.0,1,1600.0,1600.0,SFMVDM,3.0,N,N,Y
2019,TRIGO,6/7,APT,2.0,1,1850.0,1850.0,SFMVDM,3.0,N,N,Y
2019,TRIGO,"A, B",APT,2.0,2,2900.0,2900.0,SFMVDM,4.0,N,N,Y
2019,TRIGO,A,APT,2.0,2,2900.0,2900.0,SFMVDM,4.0,N,N,Y
2019,TRIGO,B,APT,2.0,2,3000.0,3000.0,SFMVDM,4.0,N,N,Y
2019,TRIGO,B,APT,2.0,1,3000.0,3000.0,SFMVDM,4.0,N,N,Y
2019,TRIGO,A,APT,4.0,2,4500.0,4500.0,SFMVDM,6.0,N,N,Y
2019,TRIGO,--,HOUSE,3.0,2,3960.0,3960.0,SFMVDM,6.0,N,,
2020,DEL PLAYA,C,0,0.0,1,1600.0,1600.0,SFMVDM,2.0,N,N,Y
2020,DEL PLAYA,A,APT,3.0,2,4500.0,4500.0,SFMVDM,6.0,N,N,Y
2020,DEL PLAYA,B,APT,3.0,2,4650.0,4650.0,SFMVDM,6.0,N,N,Y
2020,DEL PLAYA,A,APT,2.0,1,3100.0,3100.0,SFMVDM,4.0,N,N,Y
2020,DEL PLAYA,B,APT,2.0,1,3200.0,3200.0,SFMVDM,4.0,N,N,Y
2020,PARDALL,1-4,TOWNHOUSE,2.0,1.5,2800.0,2800.0,SFMVDM,4.0,N,N,Y
2020,PASADO,--,HOUSE,5.0,2,5350.0,5350.0,SFMVDM,7.0,N,,
2020,PICASSO,6,APT,1.0,1,1600.0,1600.0,SFMVDM,2.0,N,Y,N
2020,PICASSO,C,APT,1.0,1,1500.0,1500.0,SFMVDM,2.0,N,N,Y
2020,PICASSO,"A, B, D, E",APT,2.0,1,1980.0,1980.0,SFMVDM,3.0,N,N,Y
2020,PICASSO,1-7. 9-15,APT,1.0,1,1425.0,1425.0,SFMVDM,2.0,N,N,Y
2020,PICASSO,"8, 16",APT,2.0,1,2250.0,2250.0,SFMVDM,3.0,N,N,Y
2020,PICASSO,"1-3, 8-10",TOWNHOUSE,2.0,2,2700.0,2700.0,SFMVDM,4.0,N,Y,Y
2020,SABADO TARDE,"2-8, 11-17",0,0.0,1,1025.0,1025.0,SFMVDM,1.0,N,N,Y
2020,SABADO TARDE,"9, 18",0,0.0,1,1150.0,1150.0,SFMVDM,1.0,N,N,Y
2020,SABADO TARDE,"1, 10",APT,3.0,2,3400.0,3400.0,SFMVDM,4.0,N,N,Y
2020,SABADO TARDE,"1, 2",APT,2.0,2,2900.0,2900.0,SFMVDM,4.0,N,N,Y
2020,SABADO TARDE,"3, 4",APT,2.0,2,3000.0,3000.0,SFMVDM,4.0,N,N,Y
2020,SABADO TARDE,A-F,APT,2.0,1,2500.0,2500.0,SFMVDM,4.0,N,N,Y
2020,SABADO TARDE,3,APT,1.0,1,1400.0,1400.0,SFMVDM,2.0,N,N,Y
2020,SABADO TARDE,"1, 2, 4-6",APT,2.0,1,2500.0,2500.0,SFMVDM,4.0,N,N,Y
2020,SABADO TARDE,"A, B",APT,3.0,2,3600.0,3600.0,SFMVDM,5.0,N,N,Y
2020,SABADO TARDE,--,HOUSE,4.0,2,5100.0,5100.0,SFMVDM,6.0,N,,
2020,SABADO TARDE,A,APT,2.0,2,2800.0,2800.0,SFMVDM,4.0,N,N,Y
2020,SABADO TARDE,B,APT,2.0,2,2700.0,2700.0,SFMVDM,4.0,N,N,Y
2020,SABADO TARDE,"A, B",APT,2.0,1,2800.0,2800.0,SFMVDM,4.0,N,N,Y
2020,SABADO TARDE,C,0,0.0,1,1300.0,1300.0,SFMVDM,1.0,N,N,Y
2020,SABADO TARDE,A,APT,3.0,2,3900.0,3900.0,SFMVDM,5.0,N,N,Y
2020,SABADO TARDE,B,APT,3.0,1,3000.0,3000.0,SFMVDM,4.0,N,N,Y
2020,SABADO TARDE,--,HOUSE,4.0,2,6800.0,6800.0,SFMVDM,9.0,N,,
2020,SEGOVIA,"103, 104, 201-210",0,0.0,1,995.0,995.0,SFMVDM,1.0,N,Y,Y
